Zone_Number,dow,slot_30,total_obs,unoccupied,availability_rate,Latitude,Longitude
7161,1,34,1,0,0.0,-37.8206340565,144.9512744478
7161,1,35,4,0,0.0,-37.8206340565,144.9512744478
7161,1,36,1,0,0.0,-37.8206340565,144.9512744478
7161,1,39,1,0,0.0,-37.8206340565,144.9512744478
7161,1,42,1,0,0.0,-37.8206340565,144.9512744478
7161,1,43,1,1,1.0,-37.8206340565,144.9512744478
7161,1,44,1,1,1.0,-37.8206340565,144.9512744478
7161,1,45,4,3,0.75,-37.8206340565,144.9512744478
7161,1,46,1,1,1.0,-37.8206340565,144.9512744478
7163,2,23,1,0,0.0,-37.8194764915,144.9484948234
7163,2,24,1,0,0.0,-37.8194764915,144.9484948234
7163,2,25,1,0,0.0,-37.8194764915,144.9484948234
7163,2,27,1,0,0.0,-37.8194764915,144.9484948234
7163,2,28,1,0,0.0,-37.8194764915,144.9484948234
7163,2,29,7,3,0.4286,-37.8194764915,144.9484948234
7163,2,30,3,0,0.0,-37.8194764915,144.9484948234
7163,2,31,1,1,1.0,-37.8194764915,144.9484948234
7163,2,32,5,2,0.4,-37.8194764915,144.9484948234
7163,6,41,1,1,1.0,-37.8194764915,144.9484948234
7163,6,44,2,1,0.5,-37.8194764915,144.9484948234
7163,1,45,1,1,1.0,-37.8194764915,144.9484948234
7165,2,20,1,1,1.0,-37.8187851633,144.9475304333
7165,2,25,2,0,0.0,-37.8187851633,144.9475304333
7165,2,26,1,0,0.0,-37.8187851633,144.9475304333
7165,2,30,1,0,0.0,-37.8187851633,144.9475304333
7165,2,31,1,0,0.0,-37.8187851633,144.9475304333
7165,2,32,2,1,0.5,-37.8187851633,144.9475304333
7167,3,0,1,1,1.0,-37.820298788,144.942080076
7167,3,2,1,0,0.0,-37.820298788,144.942080076
7167,3,13,1,0,0.0,-37.820298788,144.942080076
7167,0,15,1,1,1.0,-37.820298788,144.942080076
7167,3,15,1,0,0.0,-37.820298788,144.942080076
7167,3,16,1,0,0.0,-37.820298788,144.942080076
7167,3,17,1,0,0.0,-37.820298788,144.942080076
7167,3,18,2,0,0.0,-37.820298788,144.942080076
7167,3,20,1,0,0.0,-37.820298788,144.942080076
7167,1,21,1,0,0.0,-37.820298788,144.942080076
7167,2,26,1,0,0.0,-37.820298788,144.942080076
7167,2,31,1,0,0.0,-37.820298788,144.942080076
7167,3,39,1,1,1.0,-37.820298788,144.942080076
7167,2,42,1,1,1.0,-37.820298788,144.942080076
7170,3,20,1,0,0.0,-37.819609875,144.944222925
7170,3,23,1,0,0.0,-37.819609875,144.944222925
7170,3,25,2,1,0.5,-37.819609875,144.944222925
7173,1,2,1,1,1.0,-37.8192828516,144.9455249297
7173,2,14,1,0,0.0,-37.8192828516,144.9455249297
7173,3,14,1,0,0.0,-37.8192828516,144.9455249297
7173,3,15,1,1,1.0,-37.8192828516,144.9455249297
7173,1,16,1,0,0.0,-37.8192828516,144.9455249297
7173,2,16,1,1,1.0,-37.8192828516,144.9455249297
7173,3,18,3,2,0.6667,-37.8192828516,144.9455249297
7173,2,19,1,1,1.0,-37.8192828516,144.9455249297
7173,3,21,1,1,1.0,-37.8192828516,144.9455249297
7173,3,22,4,1,0.25,-37.8192828516,144.9455249297
7173,3,24,2,0,0.0,-37.8192828516,144.9455249297
7173,2,25,1,1,1.0,-37.8192828516,144.9455249297
7173,3,25,3,1,0.3333,-37.8192828516,144.9455249297
7173,0,31,1,1,1.0,-37.8192828516,144.9455249297
7173,2,32,1,1,1.0,-37.8192828516,144.9455249297
7173,6,33,1,0,0.0,-37.8192828516,144.9455249297
7173,0,34,1,1,1.0,-37.8192828516,144.9455249297
7173,2,34,1,1,1.0,-37.8192828516,144.9455249297
7173,2,38,1,1,1.0,-37.8192828516,144.9455249297
7173,2,44,1,1,1.0,-37.8192828516,144.9455249297
7173,2,46,1,1,1.0,-37.8192828516,144.9455249297
7178,3,12,1,0,0.0,-37.819881175,144.9435501324
7178,3,14,4,0,0.0,-37.819881175,144.9435501324
7178,3,15,1,0,0.0,-37.819881175,144.9435501324
7178,3,18,2,0,0.0,-37.819881175,144.9435501324
7178,3,19,3,0,0.0,-37.819881175,144.9435501324
7178,3,20,3,1,0.3333,-37.819881175,144.9435501324
7178,3,21,4,0,0.0,-37.819881175,144.9435501324
7178,3,22,2,1,0.5,-37.819881175,144.9435501324
7178,3,23,6,0,0.0,-37.819881175,144.9435501324
7178,3,24,3,0,0.0,-37.819881175,144.9435501324
7178,3,25,2,0,0.0,-37.819881175,144.9435501324
7178,1,28,1,1,1.0,-37.819881175,144.9435501324
7178,2,30,1,1,1.0,-37.819881175,144.9435501324
7178,2,31,1,0,0.0,-37.819881175,144.9435501324
