Zone_Number,dow,slot_30,total_obs,unoccupied,availability_rate
7506,3,25,3,2,0.6667
7506,4,5,1,1,1.0
7506,4,7,1,1,1.0
7507,3,23,1,1,1.0
7507,3,24,2,1,0.5
7507,3,25,4,0,0.0
7508,3,24,1,1,1.0
7508,3,25,1,1,1.0
7509,1,21,1,1,1.0
7509,1,23,1,0,0.0
7510,3,24,2,0,0.0
7510,3,25,4,1,0.25
7512,3,24,3,0,0.0
7512,3,25,2,2,1.0
7514,3,21,1,0,0.0
7514,3,23,1,1,1.0
7514,3,24,2,1,0.5
7514,3,25,7,2,0.2857
7519,3,23,1,0,0.0
7520,1,35,1,1,1.0
7520,2,15,1,1,1.0
7520,2,21,2,2,1.0
7520,2,28,1,1,1.0
7520,3,27,1,1,1.0
7520,4,42,1,1,1.0
7522,3,21,1,0,0.0
7522,3,25,2,2,1.0
7527,3,15,1,0,0.0
7527,3,23,1,0,0.0
7527,3,24,4,0,0.0
7527,3,25,1,0,0.0
7528,1,38,1,1,1.0
7528,3,13,1,0,0.0
7528,3,24,3,2,0.6667
7528,3,25,4,0,0.0
7529,1,22,1,1,1.0
7529,3,16,1,0,0.0
7529,3,21,1,0,0.0
7529,3,23,1,1,1.0
7529,3,24,2,1,0.5
7529,3,25,1,0,0.0
7532,3,21,1,0,0.0
7532,3,22,2,0,0.0
7532,3,23,1,0,0.0
7532,3,24,1,0,0.0
7532,3,25,4,1,0.25
7533,3,18,1,0,0.0
7533,3,23,1,0,0.0
7533,3,24,2,0,0.0
7533,3,25,1,0,0.0
7534,2,35,2,1,0.5
7534,3,22,1,0,0.0
7534,3,24,3,0,0.0
7534,3,25,6,1,0.1667
7536,3,20,1,0,0.0
7536,3,24,1,1,1.0
7537,3,13,1,0,0.0
7537,3,14,1,0,0.0
7537,3,17,1,0,0.0
7537,3,18,2,0,0.0
7537,3,19,3,0,0.0
7537,3,20,3,1,0.3333
7537,3,21,1,0,0.0
7537,3,23,1,0,0.0
7537,3,24,1,0,0.0
7537,3,25,2,1,0.5
7537,3,28,1,1,1.0
7537,4,3,2,2,1.0
7537,4,4,1,1,1.0
7537,4,5,1,1,1.0
7538,3,16,1,1,1.0
7538,3,21,1,0,0.0
7538,3,23,1,0,0.0
7538,3,24,5,2,0.4
7538,3,25,3,1,0.3333
7539,4,27,1,0,0.0
7539,4,29,1,0,0.0
7539,4,30,2,2,1.0
7539,4,31,1,1,1.0
7539,4,33,1,0,0.0
7541,3,24,3,2,0.6667
7541,3,25,2,1,0.5
7542,3,12,1,0,0.0
7542,3,18,1,0,0.0
7542,3,23,1,0,0.0
7542,3,24,3,0,0.0
7542,3,25,1,0,0.0
7545,3,25,1,0,0.0
7547,2,17,1,1,1.0
7547,3,4,1,1,1.0
7547,3,15,1,0,0.0
7547,3,16,1,0,0.0
7547,3,18,1,0,0.0
7547,3,19,2,0,0.0
7547,3,20,2,1,0.5
7547,3,21,1,0,0.0
7547,3,22,3,0,0.0
7547,3,23,2,0,0.0
7547,3,24,5,4,0.8
7547,3,25,4,2,0.5
7547,6,18,1,1,1.0
7548,3,14,1,0,0.0
7548,3,17,1,0,0.0
7548,3,18,1,0,0.0
7548,3,21,2,0,0.0
7548,3,22,3,0,0.0
7548,3,24,1,0,0.0
7548,3,25,2,2,1.0
7549,2,17,5,2,0.4
7549,2,18,9,3,0.3333
7549,2,19,1,0,0.0
7549,4,16,1,0,0.0
7549,4,29,3,0,0.0
7549,4,30,1,0,0.0
7549,4,31,1,1,1.0
7549,4,32,1,0,0.0
7550,2,17,2,1,0.5
7550,2,18,3,0,0.0
7550,2,19,1,0,0.0
7550,4,29,1,0,0.0
7550,4,32,1,1,1.0
7550,4,33,3,3,1.0
7551,3,20,1,0,0.0
7551,3,21,2,0,0.0
7551,3,22,2,0,0.0
7551,3,23,4,0,0.0
7551,3,24,8,0,0.0
7551,3,25,4,1,0.25
7551,6,39,1,0,0.0
7552,0,29,1,1,1.0
7552,3,20,1,0,0.0
7552,3,23,1,1,1.0
7552,3,24,5,5,1.0
7553,3,25,3,0,0.0
7554,3,23,1,0,0.0
7554,3,24,1,0,0.0
7554,3,25,1,0,0.0
7556,3,15,1,0,0.0
7556,3,16,2,0,0.0
7556,3,17,1,0,0.0
7556,3,18,1,0,0.0
7556,3,19,3,0,0.0
7556,3,20,1,0,0.0
7556,3,21,2,1,0.5
7556,3,22,3,0,0.0
7556,3,23,5,0,0.0
7556,3,24,8,0,0.0
7556,3,25,5,1,0.2
7556,5,19,1,0,0.0
7557,3,22,1,0,0.0
7557,3,23,1,0,0.0
7557,3,24,2,0,0.0
7557,3,25,2,0,0.0
7558,3,23,1,0,0.0
7558,3,24,4,2,0.5
7558,3,25,2,2,1.0
7559,1,41,1,1,1.0
7559,3,23,1,1,1.0
7559,3,24,4,4,1.0
7560,1,45,1,1,1.0
7560,3,24,2,1,0.5
7560,3,25,2,0,0.0
7561,3,19,2,0,0.0
7561,3,22,1,0,0.0
7561,3,23,3,0,0.0
7561,3,24,2,0,0.0
7563,0,17,1,1,1.0
7563,3,23,1,1,1.0
7563,3,24,4,3,0.75
7563,3,25,2,1,0.5
7566,0,31,2,1,0.5
7566,0,32,6,6,1.0
7566,0,33,5,5,1.0
7566,0,34,5,4,0.8
7566,0,35,7,5,0.7143
7566,0,36,6,2,0.3333
7566,0,37,9,4,0.4444
7566,0,38,5,1,0.2
7566,0,39,1,0,0.0
7566,1,23,1,1,1.0
7566,3,23,1,1,1.0
7568,3,22,1,1,1.0
7568,3,23,2,0,0.0
7568,3,25,2,0,0.0
7568,3,27,1,0,0.0
7569,3,24,2,1,0.5
7569,3,25,5,3,0.6
7570,3,17,1,0,0.0
7570,3,18,1,0,0.0
7570,3,19,1,0,0.0
7570,3,20,2,0,0.0
7570,3,21,3,0,0.0
7570,3,22,7,1,0.1429
7570,3,23,10,1,0.1
7570,3,24,10,1,0.1
7570,3,25,2,0,0.0
7571,0,20,1,0,0.0
7571,0,22,1,0,0.0
7571,0,25,1,0,0.0
7571,0,30,1,0,0.0
7571,0,32,1,0,0.0
7571,0,33,1,1,1.0
7571,0,34,3,0,0.0
7571,0,35,1,0,0.0
7571,0,36,8,0,0.0
7571,0,37,2,0,0.0
7571,0,38,8,3,0.375
7571,0,39,5,3,0.6
7571,5,23,1,1,1.0
7572,3,24,1,1,1.0
7572,3,25,3,2,0.6667
7575,0,32,1,1,1.0
7575,0,36,2,1,0.5
7575,0,39,2,2,1.0
7576,3,24,2,1,0.5
7576,3,25,2,1,0.5
7577,0,31,1,1,1.0
7577,0,37,3,0,0.0
7577,0,38,2,1,0.5
7579,3,23,1,1,1.0
7579,3,25,3,1,0.3333
7584,3,20,1,0,0.0
7584,3,21,1,0,0.0
7584,3,22,1,0,0.0
7584,3,23,1,1,1.0
7584,3,24,5,2,0.4
7584,3,25,2,0,0.0
7586,2,39,1,1,1.0
7586,3,14,1,0,0.0
7586,3,18,1,0,0.0
7586,3,20,2,0,0.0
7586,3,21,3,0,0.0
7586,3,22,5,0,0.0
7586,3,24,1,0,0.0
7586,3,25,5,3,0.6
7591,3,24,1,0,0.0
7592,2,33,1,0,0.0
7592,3,18,2,0,0.0
7592,3,21,1,0,0.0
7592,3,22,3,0,0.0
7592,3,23,3,0,0.0
7592,3,24,7,0,0.0
7592,3,25,6,1,0.1667
7593,3,22,1,0,0.0
7593,3,24,2,1,0.5
7594,3,13,1,0,0.0
7594,3,15,1,0,0.0
7594,3,20,1,0,0.0
7594,3,21,1,0,0.0
7594,3,23,5,0,0.0
7594,3,24,5,0,0.0
7594,3,25,2,0,0.0
7595,3,17,1,0,0.0
7595,3,20,1,1,1.0
7595,3,21,2,1,0.5
7595,3,22,1,0,0.0
7595,3,24,4,1,0.25
7595,3,25,4,1,0.25
7596,3,22,1,0,0.0
7596,3,23,1,0,0.0
7596,3,24,3,0,0.0
7596,3,25,4,2,0.5
7603,3,21,2,0,0.0
7603,3,23,1,0,0.0
7603,3,25,1,0,0.0
7605,3,17,2,0,0.0
7605,3,18,1,0,0.0
7605,3,20,1,0,0.0
7605,3,21,1,0,0.0
7605,3,22,1,0,0.0
7605,3,23,2,0,0.0
7605,3,24,4,0,0.0
7605,3,25,3,0,0.0
7605,4,47,1,1,1.0
7605,5,46,1,1,1.0
7606,3,24,1,0,0.0
7606,3,25,1,0,0.0
7607,3,16,1,0,0.0
7607,3,21,1,1,1.0
7607,3,24,1,0,0.0
7608,1,15,1,1,1.0
7608,3,22,1,1,1.0
7610,0,20,1,0,0.0
7610,0,24,1,0,0.0
7610,0,25,3,0,0.0
7610,0,26,2,0,0.0
7610,0,27,6,0,0.0
7610,2,24,1,1,1.0
7610,2,36,1,1,1.0
7610,3,11,1,1,1.0
7610,3,14,1,1,1.0
7610,3,15,1,1,1.0
7610,3,19,1,1,1.0
7610,3,24,1,0,0.0
7610,3,25,2,1,0.5
7610,3,37,1,1,1.0
7610,6,22,1,1,1.0
7611,0,26,1,0,0.0
7611,1,25,1,1,1.0
7611,3,14,1,0,0.0
7611,3,25,1,1,1.0
7612,3,20,1,0,0.0
7612,3,23,3,0,0.0
7612,3,25,1,0,0.0
7614,3,13,2,0,0.0
7614,3,21,1,0,0.0
7614,3,22,3,0,0.0
7614,3,23,2,0,0.0
7614,3,24,5,1,0.2
7614,3,25,2,1,0.5
7615,3,25,1,1,1.0
7615,4,39,1,1,1.0
7621,1,36,1,1,1.0
7621,3,20,1,0,0.0
7621,3,21,2,0,0.0
7621,3,23,1,1,1.0
7621,3,24,6,3,0.5
7621,3,25,2,2,1.0
7622,3,23,1,1,1.0
7622,3,25,1,1,1.0
7623,3,24,1,0,0.0
7623,3,25,2,1,0.5
7624,3,22,3,0,0.0
7624,3,23,1,0,0.0
7624,3,24,4,2,0.5
7624,3,25,2,1,0.5
7625,1,28,1,0,0.0
7625,1,29,1,0,0.0
7625,1,30,1,1,1.0
7625,3,19,1,0,0.0
7625,3,22,1,0,0.0
7625,3,25,1,0,0.0
7626,1,30,2,1,0.5
7626,3,24,1,0,0.0
7626,3,25,2,1,0.5
7627,3,21,1,1,1.0
7627,3,23,1,0,0.0
7627,3,24,1,0,0.0
7627,3,25,1,0,0.0
7628,1,19,1,1,1.0
7628,1,28,2,1,0.5
7628,1,29,1,1,1.0
7628,3,13,1,0,0.0
7628,3,17,1,0,0.0
7628,3,23,1,0,0.0
7628,3,24,2,0,0.0
7630,3,20,1,1,1.0
7630,3,22,1,0,0.0
7630,3,23,5,0,0.0
7630,3,24,1,0,0.0
7630,3,25,2,2,1.0
7631,0,15,1,1,1.0
7631,3,20,3,0,0.0
7633,1,30,2,2,1.0
7633,1,31,1,0,0.0
7633,3,25,2,1,0.5
7634,1,17,1,0,0.0
7634,1,28,1,0,0.0
7634,1,29,3,0,0.0
7634,1,30,5,1,0.2
7634,2,17,1,0,0.0
7634,2,33,1,0,0.0
7634,3,16,2,0,0.0
7634,3,18,4,3,0.75
7634,3,24,2,0,0.0
7634,3,25,1,0,0.0
7634,6,17,1,0,0.0
7635,3,15,1,0,0.0
7635,3,24,1,0,0.0
7635,3,25,2,0,0.0
7636,3,15,1,0,0.0
7636,3,21,1,0,0.0
7636,3,22,2,0,0.0
7636,3,23,1,0,0.0
7636,3,24,3,0,0.0
7636,3,25,1,0,0.0
7637,3,24,2,0,0.0
7637,3,25,1,1,1.0
7638,3,12,1,0,0.0
7638,3,14,1,0,0.0
7638,3,15,1,0,0.0
7638,3,16,1,0,0.0
7638,3,19,1,0,0.0
7638,3,21,1,0,0.0
7638,3,22,2,0,0.0
7638,3,23,4,1,0.25
7638,3,24,2,0,0.0
7638,3,25,3,1,0.3333
7639,1,21,1,0,0.0
7639,1,27,1,0,0.0
7639,2,44,1,0,0.0
7639,3,14,1,0,0.0
7639,3,22,1,0,0.0
7639,3,23,4,0,0.0
7639,3,24,5,1,0.2
7639,3,25,4,0,0.0
7640,3,24,2,1,0.5
7640,3,25,6,4,0.6667
7642,0,25,1,1,1.0
7642,3,25,3,0,0.0
7643,0,25,3,0,0.0
7643,3,23,3,1,0.3333
7644,2,39,1,0,0.0
7644,3,15,1,0,0.0
7644,3,24,2,0,0.0
7645,3,18,1,0,0.0
7645,3,20,2,0,0.0
7645,3,23,3,0,0.0
7645,3,24,1,0,0.0
7645,3,25,1,1,1.0
7646,3,23,1,1,1.0
7646,3,24,1,1,1.0
7646,3,25,1,1,1.0
7647,3,15,1,0,0.0
7647,3,20,1,0,0.0
7647,3,22,1,0,0.0
7647,3,23,3,0,0.0
7647,3,24,6,1,0.1667
7647,3,25,2,1,0.5
7648,1,44,1,1,1.0
7648,2,11,1,0,0.0
7648,3,19,1,0,0.0
7648,3,23,1,0,0.0
7648,3,24,1,0,0.0
7648,3,25,2,0,0.0
7648,4,27,1,1,1.0
7649,2,18,1,0,0.0
7649,3,13,1,0,0.0
7649,3,18,1,0,0.0
7649,3,20,2,0,0.0
7649,3,21,1,0,0.0
7649,3,22,5,0,0.0
7649,3,23,2,0,0.0
7649,3,24,6,0,0.0
7649,3,25,4,0,0.0
7659,3,23,2,0,0.0
7659,3,24,1,0,0.0
7659,3,25,1,0,0.0
7660,3,17,1,0,0.0
7660,3,24,1,0,0.0
7672,3,22,1,1,1.0
7672,3,24,1,1,1.0
7672,3,25,1,0,0.0
7674,1,20,1,1,1.0
7674,1,27,4,0,0.0
7674,1,28,3,1,0.3333
7674,1,29,6,3,0.5
7674,1,31,1,0,0.0
7674,3,25,1,0,0.0
7674,4,19,1,1,1.0
7674,6,18,1,0,0.0
7674,6,19,3,1,0.3333
7676,3,24,1,0,0.0
7676,3,25,1,0,0.0
7686,3,23,1,1,1.0
7686,3,24,1,0,0.0
7686,3,25,2,2,1.0
7689,3,22,2,0,0.0
7689,3,24,1,0,0.0
7689,3,25,1,0,0.0
7690,3,25,3,1,0.3333
7692,2,28,1,0,0.0
7692,2,29,1,0,0.0
7695,2,24,1,0,0.0
7695,2,29,1,1,1.0
7696,3,15,1,0,0.0
7696,3,23,1,0,0.0
7696,3,25,1,1,1.0
7697,1,21,1,1,1.0
7697,3,25,4,2,0.5
7705,3,19,1,0,0.0
7705,3,22,1,0,0.0
7705,3,23,2,0,0.0
7705,3,24,3,0,0.0
7706,3,25,1,1,1.0
7708,0,30,1,0,0.0
7708,3,13,1,0,0.0
7708,3,19,3,0,0.0
7708,3,20,1,0,0.0
7708,3,22,2,0,0.0
7708,3,23,3,0,0.0
7708,3,24,3,0,0.0
7708,3,25,2,0,0.0
7708,4,20,1,0,0.0
7708,4,25,1,1,1.0
7708,5,20,1,0,0.0
7708,6,40,1,0,0.0
7708,6,45,1,0,0.0
7712,0,25,1,0,0.0
7712,0,26,3,1,0.3333
7712,0,28,1,0,0.0
7712,0,31,1,0,0.0
7712,3,35,1,0,0.0
7712,4,13,1,1,1.0
7712,4,14,1,1,1.0
7712,4,15,1,1,1.0
7712,4,16,1,1,1.0
7712,4,18,2,1,0.5
7712,4,19,1,0,0.0
7712,4,25,1,0,0.0
7712,5,23,1,1,1.0
7712,6,26,3,2,0.6667
7716,2,42,1,1,1.0
7716,2,44,2,2,1.0
7716,2,46,1,1,1.0
7716,2,47,1,1,1.0
7716,3,16,1,1,1.0
7716,3,20,2,0,0.0
7716,3,22,2,0,0.0
7716,3,23,2,0,0.0
7716,3,24,8,5,0.625
7716,3,25,5,3,0.6
7716,5,24,1,0,0.0
7718,1,32,2,2,1.0
7718,3,24,1,1,1.0
7719,3,24,1,0,0.0
7719,3,25,1,1,1.0
7720,1,41,1,0,0.0
7720,1,42,1,0,0.0
7720,2,39,1,0,0.0
7720,2,40,1,0,0.0
7720,3,12,1,0,0.0
7720,3,17,1,0,0.0
7720,3,19,1,0,0.0
7720,3,20,1,0,0.0
7720,3,21,3,0,0.0
7720,3,23,1,0,0.0
7720,3,24,3,2,0.6667
7720,3,25,1,1,1.0
7721,0,17,1,0,0.0
7721,0,25,1,0,0.0
7721,0,30,1,0,0.0
7721,1,25,1,0,0.0
7721,1,36,1,0,0.0
7721,2,3,1,1,1.0
7721,2,23,1,0,0.0
7721,2,32,1,0,0.0
7721,2,40,3,3,1.0
7721,2,41,2,2,1.0
7721,2,46,1,1,1.0
7721,2,47,1,1,1.0
7721,3,9,1,0,0.0
7721,3,15,1,1,1.0
7721,3,16,3,2,0.6667
7721,3,17,1,0,0.0
7721,3,18,1,0,0.0
7721,3,19,1,1,1.0
7721,3,20,1,1,1.0
7721,3,23,3,1,0.3333
7721,3,24,10,5,0.5
7721,3,25,3,1,0.3333
7721,4,23,1,0,0.0
7721,5,30,1,1,1.0
7721,5,35,1,0,0.0
7721,6,40,1,0,0.0
7721,6,43,1,1,1.0
7722,3,24,2,0,0.0
7722,3,25,3,1,0.3333
7725,1,18,1,0,0.0
7725,3,14,1,1,1.0
7725,3,21,1,0,0.0
7725,3,23,2,0,0.0
7725,3,24,9,3,0.3333
7725,3,25,10,4,0.4
7725,5,29,1,1,1.0
7725,6,10,1,1,1.0
7725,6,29,1,1,1.0
7726,1,18,1,1,1.0
7726,1,44,1,0,0.0
7726,3,21,1,0,0.0
7726,3,24,1,0,0.0
7726,6,15,1,0,0.0
7727,2,29,1,1,1.0
7727,3,20,1,0,0.0
7727,3,22,1,0,0.0
7727,3,23,2,0,0.0
7727,3,40,1,1,1.0
7728,3,16,1,0,0.0
7728,3,24,2,0,0.0
7728,3,25,2,2,1.0
7733,3,24,3,0,0.0
7733,3,25,1,0,0.0
7739,0,33,1,0,0.0
7739,1,30,1,0,0.0
7739,1,34,1,0,0.0
7739,1,40,1,0,0.0
7739,1,43,1,0,0.0
7739,2,18,1,0,0.0
7739,2,34,1,0,0.0
7739,2,36,1,0,0.0
7739,3,18,1,0,0.0
7739,3,20,1,1,1.0
7739,3,23,2,0,0.0
7739,3,24,3,1,0.3333
7739,3,25,4,0,0.0
7739,3,36,1,0,0.0
7739,4,42,1,0,0.0
7740,0,33,1,0,0.0
7740,3,1,1,0,0.0
7740,3,21,1,1,1.0
7740,3,24,2,1,0.5
7748,3,14,1,1,1.0
7748,3,15,1,1,1.0
7748,3,21,2,0,0.0
7748,3,23,2,1,0.5
7748,3,24,6,2,0.3333
7748,3,25,4,2,0.5
7752,0,26,3,2,0.6667
7752,0,30,2,1,0.5
7752,3,46,1,1,1.0
7752,4,12,1,1,1.0
7752,4,15,1,1,1.0
7752,4,28,1,0,0.0
7752,6,27,1,1,1.0
7753,2,36,1,0,0.0
7753,3,2,1,1,1.0
7753,3,20,1,1,1.0
7753,3,23,2,1,0.5
7753,3,24,5,1,0.2
7753,3,25,1,0,0.0
7753,3,32,8,8,1.0
7753,3,33,2,2,1.0
7753,3,34,3,3,1.0
7753,3,35,2,2,1.0
7753,3,37,1,1,1.0
7753,4,36,1,1,1.0
7757,3,21,1,0,0.0
7757,3,22,2,0,0.0
7757,3,23,6,1,0.1667
7757,3,24,2,0,0.0
7757,3,25,5,2,0.4
7762,3,23,2,0,0.0
7762,3,24,1,0,0.0
7763,3,23,1,0,0.0
7763,3,24,2,0,0.0
7763,3,25,3,3,1.0
7764,3,23,2,0,0.0
7764,3,25,2,1,0.5
7765,3,24,1,0,0.0
7765,3,25,1,0,0.0
7766,1,16,1,1,1.0
7766,3,13,1,0,0.0
7766,3,20,2,0,0.0
7766,3,21,3,0,0.0
7766,3,22,1,0,0.0
7766,3,23,3,0,0.0
7766,3,25,3,1,0.3333
7766,4,47,1,1,1.0
7767,0,27,1,1,1.0
7767,0,28,1,1,1.0
7767,0,38,2,2,1.0
7768,0,28,1,1,1.0
7768,0,29,1,0,0.0
7768,0,31,1,1,1.0
7768,0,33,1,1,1.0
7768,0,34,1,1,1.0
7768,0,35,1,1,1.0
7768,0,36,1,1,1.0
7768,0,37,1,1,1.0
7768,0,38,2,1,0.5
7769,3,24,2,1,0.5
7769,3,25,4,2,0.5
7770,0,23,1,0,0.0
7770,0,26,2,1,0.5
7772,3,22,2,0,0.0
7772,3,25,1,0,0.0
7779,0,21,1,0,0.0
7780,3,19,1,0,0.0
7780,3,22,1,0,0.0
7780,3,23,1,0,0.0
7792,3,24,2,0,0.0
7800,0,20,1,0,0.0
7800,4,41,1,0,0.0
7800,4,42,1,0,0.0
7800,6,23,1,0,0.0
7800,6,24,1,0,0.0
7910,3,9,1,0,0.0
7910,3,16,2,0,0.0
7910,3,22,2,0,0.0
7910,3,23,2,0,0.0
7910,3,24,6,0,0.0
7910,3,25,5,2,0.4
7922,0,26,1,0,0.0
7922,0,28,1,1,1.0
7922,2,40,1,0,0.0
7922,3,38,1,0,0.0
7922,3,42,1,1,1.0
7922,4,18,1,1,1.0
7922,4,22,1,0,0.0
7922,4,26,1,1,1.0
7922,6,20,1,0,0.0
7922,6,26,1,0,0.0
7923,0,27,1,1,1.0
7923,0,28,1,1,1.0
7923,0,30,1,1,1.0
7923,1,27,1,1,1.0
7923,2,1,1,1,1.0
7923,3,38,1,1,1.0
7923,3,39,1,0,0.0
7923,3,42,1,1,1.0
7923,3,44,1,1,1.0
7923,3,45,1,1,1.0
7923,4,1,1,1,1.0
7923,4,2,1,1,1.0
7923,4,3,1,1,1.0
7923,4,15,1,1,1.0
7923,4,18,2,0,0.0
7923,4,19,2,0,0.0
7923,4,20,1,0,0.0
7923,4,21,1,0,0.0
7923,4,23,2,0,0.0
7923,4,29,2,2,1.0
7923,4,30,1,0,0.0
7923,6,18,1,0,0.0
7923,6,23,1,0,0.0
7923,6,24,3,0,0.0
7923,6,25,3,0,0.0
7923,6,26,2,0,0.0
7924,0,21,1,0,0.0
7924,0,35,1,1,1.0
7924,2,21,1,1,1.0
7924,2,22,2,1,0.5
7924,2,24,1,1,1.0
7924,3,0,1,1,1.0
7924,3,13,2,2,1.0
7924,3,15,1,1,1.0
7924,3,16,1,1,1.0
7924,3,17,2,1,0.5
7924,3,18,1,1,1.0
7924,4,19,1,0,0.0
7924,6,5,1,1,1.0
7924,6,33,1,1,1.0
7930,1,19,3,0,0.0
7930,1,20,2,1,0.5
7930,1,24,4,1,0.25
7930,1,27,1,1,1.0
7930,1,29,1,0,0.0
7936,0,17,1,0,0.0
7936,0,18,1,0,0.0
7936,0,21,1,1,1.0
7936,0,22,1,1,1.0
7938,1,29,2,2,1.0
7938,1,30,2,2,1.0
7938,1,32,2,0,0.0
7938,2,37,1,0,0.0
7938,4,16,1,1,1.0
7938,4,19,1,0,0.0
7938,6,23,1,1,1.0
7939,2,33,1,1,1.0
7939,2,34,1,1,1.0
7939,2,36,2,2,1.0
7939,3,19,2,2,1.0
7939,3,24,1,1,1.0
7939,3,38,1,1,1.0
7939,6,22,1,1,1.0
7939,6,39,1,1,1.0
7939,6,41,1,1,1.0
7939,6,42,1,1,1.0
7948,3,20,1,0,0.0
7948,3,24,1,1,1.0
7948,3,25,1,1,1.0
7949,3,21,1,0,0.0
7949,3,24,1,1,1.0
7949,3,25,3,2,0.6667
7951,4,20,1,1,1.0
7951,6,24,1,0,0.0
7952,1,32,2,0,0.0
7952,1,45,1,1,1.0
7985,0,8,1,1,1.0
7985,1,21,1,0,0.0
7985,2,18,1,1,1.0
7985,2,28,1,1,1.0
7985,3,25,1,1,1.0
7985,3,45,1,1,1.0
7985,3,46,1,1,1.0
7985,4,8,1,0,0.0
7985,4,11,1,1,1.0
7985,4,17,2,1,0.5
7985,4,19,3,1,0.3333
7986,1,43,1,1,1.0
7986,2,12,1,1,1.0
7986,2,18,1,1,1.0
7986,2,19,2,2,1.0
7988,3,27,1,1,1.0
7988,3,31,1,1,1.0
7988,3,34,1,1,1.0
7988,3,35,1,0,0.0
7988,3,36,1,1,1.0
7988,4,12,1,1,1.0
7988,4,17,2,2,1.0
7988,4,18,1,1,1.0
7993,0,38,1,0,0.0
7993,1,27,1,1,1.0
7993,1,30,1,1,1.0
7993,1,41,2,2,1.0
7993,1,42,1,1,1.0
7993,1,44,1,1,1.0
7993,2,10,1,1,1.0
7993,2,18,1,0,0.0
7993,2,28,1,0,0.0
7993,2,41,1,1,1.0
7993,2,44,1,1,1.0
7993,3,37,2,1,0.5
7993,3,38,1,0,0.0
7993,3,40,1,1,1.0
7993,3,42,1,0,0.0
7993,4,14,1,0,0.0
7993,4,17,2,1,0.5
7995,1,25,1,1,1.0
