Zone_Number,weekday,slot_30,total_obs,availability_rate
7213,0,30,1,1.0
7213,4,38,1,0.0
7213,4,42,1,0.0
7213,5,43,1,1.0
7213,6,35,1,1.0
7213,6,36,3,0.3333333333333333
7214,2,12,1,1.0
7214,5,31,1,0.0
7214,5,44,2,1.0
7214,6,27,1,1.0
7214,6,28,1,1.0
7214,6,31,1,1.0
7214,6,32,3,1.0
7214,6,33,3,0.3333333333333333
7218,0,20,1,0.0
7218,0,24,2,0.0
7218,0,25,3,0.6666666666666666
7218,0,26,1,1.0
7218,2,35,1,1.0
7218,4,15,1,0.0
7219,0,12,1,0.0
7219,0,13,1,0.0
7219,0,18,1,0.0
7219,0,19,1,0.0
7219,0,22,1,0.0
7219,0,23,2,0.0
7219,0,25,3,0.0
7219,0,26,2,0.5
7219,6,33,1,0.0
7220,6,30,1,0.0
7220,6,31,1,0.0
7220,6,32,1,0.0
7220,6,35,4,0.0
7220,6,36,2,0.0
7220,6,37,1,0.0
7222,4,22,1,1.0
7222,5,27,1,1.0
7222,6,29,1,1.0
7223,0,26,2,0.0
7226,6,31,2,0.0
7226,6,33,2,0.0
7226,6,34,1,0.0
7226,6,35,2,0.0
7226,6,36,2,0.0
7226,6,37,3,0.0
7227,1,17,1,0.0
7227,1,41,1,1.0
7227,1,46,1,1.0
7228,1,36,1,0.0
7228,1,43,1,0.0
7228,1,44,2,1.0
7228,1,46,3,1.0
7229,0,35,1,0.0
7229,0,39,1,1.0
7229,1,34,1,1.0
7229,1,42,1,1.0
7230,1,39,1,0.0
7230,1,44,1,1.0
7231,0,30,2,0.5
7231,1,45,1,0.0
7231,4,35,1,0.0
7231,4,41,1,0.0
7232,6,31,2,0.0
7232,6,34,1,1.0
7232,6,35,3,0.0
7232,6,36,1,1.0
7232,6,37,1,0.0
7232,6,38,1,0.0
7234,6,33,1,1.0
7234,6,34,1,1.0
7234,6,35,1,1.0
7234,6,37,1,1.0
7236,5,43,1,0.0
7236,6,13,1,0.0
7236,6,30,2,0.0
7236,6,31,2,0.0
7236,6,32,1,0.0
7236,6,33,2,0.0
7236,6,34,1,0.0
7236,6,35,5,0.0
7236,6,36,4,0.25
7236,6,37,4,0.5
7236,6,38,1,1.0
7237,6,13,1,0.0
7237,6,33,1,1.0
7237,6,36,1,1.0
7237,6,37,2,1.0
7237,6,38,2,0.0
7239,6,23,1,0.0
7239,6,30,1,1.0
7239,6,31,2,0.0
7239,6,33,1,0.0
7239,6,34,1,0.0
7239,6,35,5,0.4
7239,6,36,12,0.75
7239,6,37,4,0.5
7239,6,38,1,0.0
7241,6,31,1,0.0
7241,6,33,2,0.0
7241,6,36,2,0.5
7243,6,32,1,0.0
7243,6,36,1,1.0
7243,6,37,1,0.0
7243,6,38,1,1.0
7243,6,39,2,1.0
7243,6,43,1,1.0
7244,6,30,1,0.0
7245,1,17,1,1.0
7245,2,23,1,1.0
7245,3,34,1,1.0
7245,3,45,1,1.0
