KerbsideID,Latitude,Longitude,RoadSegmentDescription,Zone_Number
,-37.8093513,144.9489874,Rosslyn Street between Adderley Street and Spencer Street,7930.0
,-37.8228655,144.9663929,Kavanagh Street between Sturt Street and Southbank Boulevard,
,-37.8227995,144.9665382,Kavanagh Street between Sturt Street and Southbank Boulevard,
,-37.8036487,144.9618015,Bouverie Street between Queensberry Street and Lincoln Square South,7025.0
,-37.8035923,144.9619283,Bouverie Street between Queensberry Street and Lincoln Square South,7025.0
,-37.8036691,144.9619141,Bouverie Street between Queensberry Street and Lincoln Square South,7025.0
,-37.8304526,144.9691,Dorcas Street between Wells Street and Dodds Street,
,-37.8304337,144.9691651,Dorcas Street between Wells Street and Dodds Street,
,-37.8117408,144.9840072,Grey Street between Powlett Street and Clarendon Street,7250.0
63827,-37.8146911,144.961328,Bourke Street between Elizabeth Street and Queen Street,7594.0
,-37.7990595,144.9459343,Plane Tree Way between Dryburgh Street and Abbotsford Street,
,-37.8485346,144.9801351,St Kilda Road between Moubray Street and High Street,7586.0
,-37.8243121,144.9774319,Alexandra Avenue between Swan Street Bridge and Anderson Street,
,-37.8097531,144.9877752,Victoria Parade between Simpson Street and Powlett Street,7246.0
,-37.7933954,144.9302313,Intersection of Bellair Street and Wight Street,
,-37.7934595,144.930247,Bellair Street between Macaulay Road and Wight Street,
,-37.7930069,144.9301057,Bellair Street between Wight Street and McMeikan Street,
,-37.7921716,144.9261266,Hopetoun Street between Epsom Road and McCracken Street,
,-37.7917164,144.9269009,Hopetoun Street between Epsom Road and McCracken Street,
79040,-37.830042,144.9666316,Coventry Street between Dodds Street and Sturt Street,
79043,-37.8300689,144.9665231,Coventry Street between Dodds Street and Sturt Street,
79049,-37.830131,144.9663064,Coventry Street between Dodds Street and Sturt Street,
78982,-37.8297007,144.9678023,Coventry Street between Wells Street and Dodds Street,
,-37.8333624,144.977033,Domain Road between Dallas Brooks Drive and Domain Street,7348.0
,-37.8335999,144.9788682,Intersection of Domain Road and Domain Street,7348.0
,-37.8336261,144.9790712,Domain Road between Domain Street and Hope Street,7348.0
,-37.8336344,144.9791371,Domain Road between Domain Street and Hope Street,7348.0
,-37.8336428,144.979203,Domain Road between Domain Street and Hope Street,7348.0
,-37.833677,144.9794733,Domain Road between Domain Street and Hope Street,7348.0
,-37.833694,144.9796079,Domain Road between Domain Street and Hope Street,7348.0
,-37.833711,144.9797425,Domain Road between Domain Street and Hope Street,
,-37.7942418,144.9159177,Speakmen Street between Stockmans Way and Smithfield Road,
,-37.8010615,144.9473147,Little Baillie Street from Baillie Street,
,-37.8033479,144.9600484,Barry Street between Leicester Street and Pelham Street,7301.0
75253,-37.8269241,144.9573745,Haig Street between Clarendon Street and Westgate Freeway,
75259,-37.8271739,144.9570805,Haig Street between Clarendon Street and Westgate Freeway,
75261,-37.8272529,144.9569875,Haig Street between Clarendon Street and Westgate Freeway,
75264,-37.82736,144.9568611,Haig Street between Clarendon Street and Westgate Freeway,
75267,-37.8274753,144.9567254,Haig Street between Clarendon Street and Westgate Freeway,
,-37.827365,144.9552293,Whiteman Street between Westgate Freeway and Clarendon Street,
,-37.8270543,144.9554075,Whiteman Street between Westgate Freeway and Clarendon Street,
,-37.8273838,144.9604778,Hancock Street between Moray Street and Clarke Street,
,-37.8274244,144.9603393,Hancock Street between Moray Street and Clarke Street,
75949,-37.8281257,144.9658638,Sturt Street between Grant Street and Miles Street,
22434,-37.8451933,144.9806937,Commercial Road between St Kilda Road and Punt Road,7910.0
76051,-37.8285826,144.9659071,Sturt Street between Miles Street and Coventry Street,
,-37.843207,144.9781967,St Kilda Road between Armadale Street and Commercial Road,
52125,-37.8115574,144.9675383,Russell Street between Little Bourke Street and Lonsdale Street,7634.0
52129,-37.8113649,144.9674506,Russell Street between Little Bourke Street and Lonsdale Street,7634.0
,-37.8380126,144.9834022,Toorak Road between Leopold Street and Marne Street,
,-37.8467377,144.9796573,St Kilda Road between Commercial Road and Moubray Street,7910.0
,-37.8453933,144.978992,St Kilda Road between Commercial Road and Moubray Street,7910.0
,-37.8470663,144.9796036,St Kilda Road between Commercial Road and Moubray Street,
,-37.8478395,144.9804306,Moubray Street between St Kilda Road and Punt Road,7586.0
,-37.8478608,144.9814327,Moubray Street between St Kilda Road and Punt Road,7586.0
,-37.8483112,144.984299,Moubray Street between St Kilda Road and Punt Road,7586.0
,-37.8482879,144.9841079,Moubray Street between St Kilda Road and Punt Road,7586.0
,-37.8482321,144.9836499,Moubray Street between St Kilda Road and Punt Road,7586.0
21684,-37.8482249,144.9835122,Moubray Street between St Kilda Road and Punt Road,7584.0
21679,-37.8481677,144.9830433,Moubray Street between St Kilda Road and Punt Road,7584.0
,-37.8502145,144.9812608,High Street between St Kilda Road and Punt Road,
,-37.8503698,144.9824724,High Street between St Kilda Road and Punt Road,
,-37.8505228,144.9836757,High Street between St Kilda Road and Punt Road,
78110,-37.8250272,144.9703994,Grant Street between St Kilda Road and Wells Street,
,-37.8046246,144.9523603,Chetwynd Street between Victoria Street and Queensberry Street,7739.0
,-37.8048141,144.9523263,Chetwynd Street between Victoria Street and Queensberry Street,7924.0
,-37.8049669,144.9522994,Chetwynd Street between Victoria Street and Queensberry Street,7924.0
65574,-37.8135387,144.9579166,Lonsdale Street between Queen Street and William Street,7566.0
65461,-37.8127823,144.9605476,Lonsdale Street between Elizabeth Street and Queen Street,7551.0
54332,-37.8143156,144.9603952,Queen Street between Bourke Street and Little Bourke Street,7594.0
54327,-37.8144597,144.9604614,Queen Street between Bourke Street and Little Bourke Street,7594.0
54333,-37.814293,144.9603848,Queen Street between Bourke Street and Little Bourke Street,7594.0
,-37.826006,144.9691178,Wells Street between Grant Street and Miles Street,
,-37.8258414,144.9691679,Wells Street between Grant Street and Miles Street,
,-37.8257363,144.9692,Wells Street between Grant Street and Miles Street,
,-37.8260586,144.9691018,Wells Street between Grant Street and Miles Street,
,-37.8268174,144.9688722,Wells Street between Grant Street and Miles Street,
,-37.8278053,144.968694,Wells Street between Grant Street and Miles Street,
,-37.8280156,144.9686303,Wells Street between Grant Street and Miles Street,
,-37.8283851,144.9645898,Moore Street between Miles Street and Kings Way,
,-37.828556,144.9645388,Moore Street between Miles Street and Kings Way,
75919,-37.826483,144.9663438,Intersection of Sturt Street and Grant Street,
75961,-37.8269013,144.9664174,Sturt Street between Grant Street and Miles Street,
75837,-37.825517,144.9666494,Sturt Street between Southbank Boulevard and Grant Street,
75834,-37.8253598,144.9666995,Sturt Street between Southbank Boulevard and Grant Street,
75873,-37.8251754,144.9669433,Sturt Street between Southbank Boulevard and Grant Street,
75875,-37.8252809,144.9669134,Sturt Street between Southbank Boulevard and Grant Street,
75865,-37.8247795,144.9670575,Sturt Street between Southbank Boulevard and Grant Street,
21526,-37.8350129,144.9774166,Bromby Street between Adams Street and Arnold Street,7348.0
21527,-37.8350219,144.977485,Bromby Street between Adams Street and Arnold Street,7348.0
,-37.8093098,144.9785322,Lansdowne Street between Albert Street and Victoria Parade,7260.0
,-37.7928548,144.967789,Cemetery Road East between College Crescent and Lygon Street,
64142,-37.8167152,144.9548845,Bourke Street between King Street and Spencer Street,7335.0
,-37.809448,144.9766684,Morrison Place between Victoria Parade and Albert Street,7236.0
12297,-37.7993869,144.9533927,Villiers Street between Flemington Road and Courtney Street,7757.0
22023,-37.7994655,144.9532927,Villiers Street between Flemington Road and Courtney Street,7757.0
,-37.8270036,144.9592902,Clarke Street between City Road and Catherine Street,
78880,-37.8291294,144.9697589,Coventry Street between St Kilda Road and Wells Street,
54520,-37.8121229,144.9595203,Queen Street between Lonsdale Street and Little Lonsdale Street,7610.0
54551,-37.8124089,144.9594038,Queen Street between Lonsdale Street and Little Lonsdale Street,7610.0
,-37.813157,144.959992,Queen Street between Little Bourke Street and Lonsdale Street,7612.0
54436,-37.8135097,144.9600262,Queen Street between Little Bourke Street and Lonsdale Street,7605.0
61716,-37.8136891,144.9723734,Collins Street between Spring Street and Exhibition Street,7360.0
,-37.8190354,144.987654,Vale Street between Wellington Parade South and Vale Street South,
,-37.8181773,144.9877908,Vale Street between Wellington Parade South and Vale Street South,
,-37.8180164,144.9878165,Vale Street between Wellington Parade South and Vale Street South,
77433,-37.8272959,144.9713398,Intersection of St Kilda Road and Anzac Avenue,
77431,-37.8274039,144.9713308,Intersection of St Kilda Road and Anzac Avenue,
77429,-37.8275118,144.9713218,St Kilda Road between Anzac Avenue and Coventry Street,
77420,-37.8279947,144.9712798,St Kilda Road between Anzac Avenue and Coventry Street,
,-37.8316199,144.976614,Dallas Brooks Drive between Domain Road and Birdwood Avenue,
,-37.8318376,144.9766593,Dallas Brooks Drive between Domain Road and Birdwood Avenue,
,-37.8322282,144.9766591,Dallas Brooks Drive between Domain Road and Birdwood Avenue,
,-37.7924023,144.9322481,Barnett Street between Smith Street and Robertson Street,
,-37.8236559,144.965892,Moore Street between Southbank Boulevard and Southern Link Road,
,-37.8238648,144.9658289,Moore Street between Southbank Boulevard and Southern Link Road,
,-37.8332404,144.9805829,Birdwood Avenue between Dallas Brooks Drive and Domain Road,
,-37.8332513,144.9809952,Birdwood Avenue between Dallas Brooks Drive and Domain Road,
,-37.832816,144.9786157,Birdwood Avenue between Dallas Brooks Drive and Domain Road,
,-37.832221,144.9777471,Birdwood Avenue between Dallas Brooks Drive and Domain Road,
,-37.8319024,144.9774617,Birdwood Avenue between Dallas Brooks Drive and Domain Road,
15091,-37.8212394,144.9435162,Collins Street between Merchant Street and Bourke Street,7186.0
20912,-37.8204305,144.9455268,Geographe Street between Bourke Street and Keera Way,7197.0
,-37.8257565,144.9624262,Kavanagh Street between Power Street and Balston Street,
,-37.8251899,144.9630914,Kavanagh Street between Power Street and Balston Street,
,-37.8250764,144.9630664,Kavanagh Street between Power Street and Balston Street,
69411,-37.8068185,144.9653977,Victoria Street between Lygon Street and Cardigan Street,7076.0
61414,-37.818512,144.9601263,Flinders Lane between Market Street and William Street,7457.0
61328,-37.818185,144.9611332,Flinders Lane between Queen Street and Market Street,7459.0
18563,-37.8191573,144.9493844,Village Street between Bourke Street and Collins Street,7227.0
23241,-37.8105653,144.9521013,Batman Street between Spencer Street and King Street,7939.0
,-37.8297173,144.9673116,Coventry Street between Wells Street and Dodds Street,
,-37.829597,144.967726,Coventry Street between Wells Street and Dodds Street,
,-37.8293995,144.9684036,Coventry Street between Wells Street and Dodds Street,
,-37.8333712,144.9771007,Domain Road between Dallas Brooks Drive and Domain Street,7348.0
,-37.8335206,144.9782574,Domain Road between Dallas Brooks Drive and Domain Street,7348.0
